source,target,weight
1,1,92.52256536
1,8,7.71021378
1,12,7.71021378
1,19,15.42042756
1,22,15.42042756
1,25,15.42042756
1,27,15.42042756
1,28,23.13064134
2,1,84.81235158
2,2,21.08404513
2,5,15.42042756
2,19,16.87154787
2,22,7.71021378
2,23,18.16903567
2,24,11.76086956
2,26,6.96566524
2,28,23.13064134
3,3,27.86266096
3,8,6.96566524
3,13,6.96566524
3,19,6.96566524
4,3,6.96566524
4,4,27.86266096
4,13,10.433613959999999
4,19,6.96566524
4,23,9.90588263
4,24,9.90588263
5,2,10.650431170000001
5,5,15.228818279999999
5,19,13.93133048
5,20,3.46794872
5,23,25.13470091
5,24,12.84610002
5,25,23.13064134
5,26,32.47902484
6,6,70.56521735999999
6,7,23.52173912
6,8,14.70108695
6,9,8.820652169999999
6,14,11.76086956
6,15,5.88043478
7,6,26.46195651
7,7,293.5693981
7,8,139.92419175999999
7,9,26.6881271
7,12,18.88837628
7,13,9.876114829999999
7,14,128.69105353
7,15,76.06870125
7,20,3.46794872
8,3,6.96566524
8,4,34.8283262
8,6,17.641304339999998
8,7,209.13238572
8,8,780.58991718
8,9,290.66677658000003
8,11,14.67587902
8,12,49.50420522
8,13,99.24374874
8,14,327.52207458
8,15,239.57083144
8,19,69.6566524
8,23,20.89699572
8,24,41.79399144
9,2,2.94021739
9,6,5.88043478
9,7,43.50013937
9,8,400.57897606
9,9,795.0310525900001
9,12,13.93133048
9,13,92.2780835
9,14,154.91000922
9,15,90.69980328
9,20,6.93589744
9,25,15.42042756
10,10,53.97149646
10,22,7.71021378
10,24,7.71021378
10,26,15.42042756
11,4,6.96566524
11,24,21.64154426
12,1,7.71021378
12,2,3.46794872
12,3,13.93133048
12,4,13.93133048
12,5,6.96566524
12,7,33.78107251
12,8,21.64154426
12,9,7.71021378
12,11,6.96566524
12,12,292.99805804
12,13,27.86266096
12,19,53.22694792
12,20,15.42042756
12,21,7.71021378
12,22,38.551068900000004
12,23,29.35175804
12,24,81.80438962
12,25,30.84085512
12,26,38.551068900000004
12,28,7.71021378
13,1,7.71021378
13,2,6.96566524
13,3,6.96566524
13,5,9.3483835
13,6,8.820652169999999
13,7,103.51073027
13,8,165.53019842999998
13,9,105.97442958
13,12,20.89699572
13,13,116.53543709
13,14,61.5462211
13,15,101.29513846
13,17,3.46794872
13,18,24.30540884
13,19,87.93472876
13,20,45.3848941
13,22,13.37383135
13,23,12.28860089
13,24,23.24994618
13,25,7.71021378
14,2,7.71021378
14,7,58.95512824
14,8,93.01606546000001
14,9,57.802039830000005
14,13,114.57031303
14,14,170.44282114
14,15,409.39504037
14,16,27.286994640000003
14,17,7.71021378
14,18,13.87179488
14,19,28.60264963
14,20,24.30540884
14,21,18.36064495
14,22,14.64611122
14,23,6.40816611
14,24,18.14382774
14,25,7.71021378
15,4,20.867227919999998
15,5,20.33949659
15,6,2.94021739
15,7,38.14743592
15,8,104.78172853000001
15,9,71.48690556000001
15,13,238.02420547
15,14,62.27260245
15,15,447.20124488
15,16,82.27621063
15,17,31.51765909
15,18,65.36329435
15,19,168.93356008
15,20,63.25236903
15,21,18.36064495
15,22,25.85404152
15,23,30.98536789
15,24,48.912378419999996
15,25,38.551068900000004
15,26,15.42042756
15,27,7.71021378
15,28,7.71021378
16,8,6.40816611
16,9,27.286994640000003
16,13,58.984896039999995
16,14,17.3397436
16,15,24.27564104
16,16,72.07089423
16,17,3.46794872
16,18,6.40816611
16,22,3.46794872
17,8,2.94021739
17,13,6.93589744
17,14,15.42042756
17,15,3.46794872
17,16,6.93589744
17,17,28.76449111
17,18,6.93589744
17,19,6.40816611
17,21,7.71021378
18,13,31.211538479999998
18,15,3.46794872
18,16,44.555602029999996
18,17,6.93589744
18,19,10.40384616
18,20,6.40816611
18,22,3.46794872
19,2,42.9424066
19,4,9.90588263
19,5,5.88043478
19,6,26.46195651
19,7,67.62499997
19,8,290.36000606
19,9,53.18441128
19,10,22.3860928
19,11,6.96566524
19,12,33.78107251
19,13,61.516453299999995
19,14,20.27996099
19,15,23.22017838
19,19,482.78553746
19,20,24.57720178
19,21,12.81633222
19,22,27.99017477
19,23,35.59808267
19,24,93.45383355999999
19,25,7.71021378
19,26,15.42042756
19,27,7.71021378
20,7,6.40816611
20,8,18.36064495
20,9,7.71021378
20,12,7.71021378
20,13,31.211538479999998
20,14,3.46794872
20,15,3.46794872
20,16,6.93589744
20,17,13.37383135
20,18,6.93589744
20,19,64.91095317
20,20,42.746237449999995
20,22,40.47038494
20,23,3.46794872
21,8,7.71021378
21,13,3.46794872
21,14,3.46794872
21,19,19.47108334
21,20,2.94021739
21,21,38.551068900000004
21,22,7.71021378
21,28,7.71021378
22,1,15.42042756
22,2,7.71021378
22,5,7.71021378
22,8,7.71021378
22,9,10.433613959999999
22,12,77.10213780000001
22,13,35.48357134
22,14,10.433613959999999
22,15,10.40384616
22,19,31.7047085
22,20,18.88837628
22,21,18.88837628
22,22,40.47038494
22,25,15.42042756
22,27,7.71021378
22,28,7.71021378
23,2,25.87924945
23,4,2.94021739
23,5,28.29173551
23,13,10.40384616
23,19,146.78275761
23,22,10.433613959999999
23,23,44.38896704
23,24,29.71764789
23,25,7.71021378
23,26,7.71021378
24,2,33.03652397
24,4,20.89699572
24,5,33.93014515
24,7,2.94021739
24,12,7.71021378
24,13,10.433613959999999
24,19,102.68405663
24,22,39.7556042
24,23,59.85981046
24,24,103.33450825999999
24,28,15.42042756
25,1,15.42042756
25,2,23.13064134
25,12,46.26128268
25,20,15.42042756
25,22,23.13064134
25,25,77.10213780000001
25,27,7.71021378
25,28,30.84085512
26,1,7.71021378
26,2,46.26128268
26,5,7.71021378
26,10,7.71021378
26,12,7.71021378
26,22,7.71021378
26,23,3.46794872
26,24,10.650431170000001
26,25,15.42042756
26,26,7.71021378
27,13,7.71021378
27,17,7.71021378
27,20,7.71021378
27,21,7.71021378
27,22,15.42042756
27,27,23.13064134
28,1,15.42042756
28,19,15.42042756
28,22,38.551068900000004
28,25,7.71021378
28,27,23.13064134
28,28,38.551068900000004
